print,type,snippet,headline,word.count,popular
0,News,"Parents are questioning the long-term effects of the often-used laxative, Miralax, which has become a staple in many American households since it was first introduced 13 years ago.",Drug for Adults Is Popular as Children's Remedy,1347,0
1,Blog,Dwyane Wade and LeBron James dominate. The Sixers and Celtics will play a Game 7. And Craig Sager hits a high note.,Leading Off: Just the Two of Us,662,0
1,Blog,"Yahoo's departing chief executive, Scott Thompson, will leave without severance pay after being forced out over an erroneous academic record.",Yahoo's Former Chief to Leave Without Severance,246,0
1,Blog,"Among the highest priorities is closing a deal to sell some of Yahoo's stake in the Alibaba Group of China back to that company, in a deal that could reap billions of dollars.",New Cast Atop Yahoo Faces Stubborn Troubles,543,0
1,Blog,Did RIM wait too long in considering a potential deal for all or parts of the company?,"Research in Motion, Struggling, Ponders a Dim Future",769,0
1,Blog,Microsoft's Hotmail service has its own keyboard shortcuts for speeding up Web-based mail tasks - but can use Yahoo Mail or Gmail shortcuts instead.,Tip of the Week: Hotmail Keyboard Shortcuts,135,0
1,Blog,"Living in and taking part in society requires acceptance of some responsibilities for others, an economist writes.",Investing in Julia,845,0
1,Blog,The Chinese Investment Corporation is said to be in talks to lend money to the Internet company Alibaba so it can repurchase a stake held by Yahoo.,Alibaba Said to Seek Billions to Buy Back Yahoo Stake,560,0
1,Blog,"Cavan M. Redmond, a senior executive at Pfizer, will become the chief executive of WebMD, which is under pressure to bolster its share price.",Pfizer Executive to Take the Helm of WebMD,396,0
1,Blog,"Under the deal, Alibaba will buy back half of Yahoo's stake, and Yahoo will sell an additional 10 percent when Alibaba goes public.",Yahoo Will Sell a Stake in Alibaba,568,0
1,Blog,"In Washington, lawmakers and regulators are scrutinizing the fairness of Facebook's I.P.O. process. In New York, a prosecutor continues his broad campaign to end insider trading. A look back on our reporting of the past week's highs and lows in finan",DealBook's Week in Review: Questions of Fair Play,1153,0
1,Blog,"Proxy season is traditionally dominated by well-known activist investors, but this year has been different with mutual funds and other institutional investors applying more pressure to corporate boards.",Once-Reticent Investors Join Shareholder Revolts ,1267,0
1,Blog,"Encoded passwords for some LinkedIn users were posted to a Russian hacker site, which means LinkedIn users would do well to quickly change their log-in credentials.",LinkedIn Was Breached. Now What Do You Do?,652,0
1,Blog,Highlights from the DealBook newsletter.,Morning Take-Out,2663,0
1,Blog,"A new mobile recommendation service aims to be a more trusted review service by getting friends to share reviews of movies, music and restaurants.",Refining Web Recommendations Through Friends,648,0
1,Blog,"The search warrants used to carry out a raid on the service were found to be illegal, the chief judge of a High Court in New Zealand ruled. Also, Yahoo moves toward Spotify and iHeartRadio, and away from Rhapsody.",Digital Notes: Another Jolt to U.S. Case Against Megaupload,462,0
1,Blog,"With a $6.2 billion accounting charge, Microsoft is essentially writing off the value of the aQuantive advertising business it purchased five years ago.",Microsoft Takes Write-Down in Failed Digital Ad Foray,748,0
1,Blog,A collection of links from the reporters and editors of the Dining section.,What We're Reading,607,0
1,Blog,"Yahoo and Facebook have agreed to settle an increasingly bitter legal fight over their patent holdings, ending what could have been one of the nastier court battles in Silicon Valley in some time.",Yahoo and Facebook Settle Patent Lawsuits,665,0
1,Blog,The Internet company's co-founder Jerry Yang and other former Yahoo executives were spotted at the annual Allen & Company gathering this year.,The Yahoos at Sun Valley,338,0
1,Blog,"Whether its ice skating, rafting or a giant plastic castle, the children of attendees of the Allen & Company gathering, for media and technology moguls, have a blast.","At High-Level Gathering of Moguls, Kids Get the V.I.P. Treatment",341,0
1,Blog,"Yahoo confirmed on Thursday that hackers had breached its systems and posted online a file of 400,000 usernames and passwords.","Yahoo Breach Extends Beyond Yahoo to Gmail, Hotmail, AOL Users",438,0
